"Timestamp","Alert Description","Alert Signature","Severity","Sender IP","Sender Port","Target IP","Target Port","Transport Protocol","HTTP Hostname","HTTP URI","HTTP Content-Type","HTTP Method","HTTP User Agent","HTTP Protocol","HTTP Length","HTTP Status Code"
"2017-08-09 18:10:30 Z","Potentially Bad Traffic","ET POLICY Vulnerable Java Version 1.8.x Detected","2","192.168.1.221","50914","192.150.187.168","80","TCP","netalyzr.icsi.berkeley.edu ","/analysis/m=cli","None","GET","Java/1.8.0_131","HTTP/1.1","0","302"
"2017-08-09 18:10:31 Z","Potentially Bad Traffic","ET POLICY Vulnerable Java Version 1.8.x Detected","2","192.168.1.221","51842","54.152.57.160","80","TCP","n1.netalyzr.icsi.berkeley.edu","/analysis/m=cli/l=en-US","None","GET","Java/1.8.0_131","HTTP/1.1","0","200"
"2017-08-09 18:11:13 Z","Generic Protocol Command Decode","SURICATA HTTP missing Host header","3","192.168.1.221","51868","54.152.57.160","80","TCP","None","/icsi/id=369839a0-9699-1212b05c-76f3-4c41-bd17","None","ICSI","None","HTTP/1.1","0","200"
"2017-08-09 18:13:00 Z","Potential Corporate Privacy Violation","ET P2P possible torrent download","1","192.168.1.221","52172","54.152.57.160","80","TCP","n1.netalyzr.icsi.berkeley.edu","...699-1212b05c-76f3-4c41-bd17/name=Fedora-10-i686-Live.torrenthttp://n1.netalyzr.icsi.berkeley.edu/file/id=369839a0-9699-1212b05c-76f3-4c41-bd17/name=Fedora-10-i686-Live.torrent","None","GET","Java/1.8.0_131","HTTP/1.1","0","200"
"2017-08-09 18:16:19 Z","Potentially Bad Traffic","ET POLICY Vulnerable Java Version 1.8.x Detected","2","192.168.1.221","52572","54.152.57.160","80","TCP","n1.netalyzr.icsi.berkeley.edu","/log/id=369839a0-9699-1212b05c-76f3-4c41-bd17/checkVer=57861","None","POST","Java/1.8.0_131","HTTP/1.1","0","200"
"2017-08-09 18:16:30 Z","Potentially Bad Traffic","ET POLICY Vulnerable Java Version 1.8.x Detected","2","192.168.1.221","52574","54.152.57.160","80","TCP","n1.netalyzr.icsi.berkeley.edu","/lookups/id=369839a0-9699-1212b05c-76f3-4c41-bd17/byAddr=192.168.3.43,192.168.3.61","None","GET","Java/1.8.0_131","HTTP/1.1","0","200"
"2017-08-09 18:26:31 Z","Potential Corporate Privacy Violation","ET P2P BitTorrent - Torrent File Downloaded","1","54.152.57.160","80","192.168.1.221","52172","TCP","n1.netalyzr.icsi.berkeley.edu","...699-1212b05c-76f3-4c41-bd17/name=Fedora-10-i686-Live.torrenthttp://n1.netalyzr.icsi.berkeley.edu/file/id=369839a0-9699-1212b05c-76f3-4c41-bd17/name=Fedora-10-i686-Live.torrent","application/x-bittorrent","GET","Java/1.8.0_131","HTTP/1.1","54772","200"
"2017-08-09 18:29:07 Z","Potential Corporate Privacy Violation","ET POLICY PE EXE or DLL Windows file download HTTP","1","54.152.57.160","80","192.168.1.221","52096","TCP","n1.netalyzr.icsi.berkeley.edu","http://n1.netalyzr.icsi.berkeley.edu/file/id=369839a0-9699-1212b05c-76f3-4c41-bd17/name=netalyzr.exe","application/octet-stream","GET","Java/1.8.0_131","HTTP/1.1","3072","200"
"2017-08-09 18:29:07 Z","A Network Trojan was detected","ET POLICY Java EXE Download","1","54.152.57.160","80","192.168.1.221","52096","TCP","n1.netalyzr.icsi.berkeley.edu","http://n1.netalyzr.icsi.berkeley.edu/file/id=369839a0-9699-1212b05c-76f3-4c41-bd17/name=netalyzr.exe","application/octet-stream","GET","Java/1.8.0_131","HTTP/1.1","3072","200"
"2017-08-09 18:29:07 Z","A Network Trojan was detected","ET TROJAN Java EXE Download by Vulnerable Version - Likely Driveby","1","54.152.57.160","80","192.168.1.221","52096","TCP","n1.netalyzr.icsi.berkeley.edu","http://n1.netalyzr.icsi.berkeley.edu/file/id=369839a0-9699-1212b05c-76f3-4c41-bd17/name=netalyzr.exe","application/octet-stream","GET","Java/1.8.0_131","HTTP/1.1","3072","200"
"2017-08-09 18:49:24 Z","Potentially Bad Traffic","ET POLICY Vulnerable Java Version 1.8.x Detected","2","192.168.1.221","57512","192.150.187.168","80","TCP","netalyzr.icsi.berkeley.edu ","/analysis/m=cli","None","GET","Java/1.8.0_131","HTTP/1.1","0","302"
"2017-08-09 18:49:29 Z","Potentially Bad Traffic","ET POLICY Vulnerable Java Version 1.8.x Detected","2","192.168.1.221","58448","54.152.57.160","80","TCP","n1.netalyzr.icsi.berkeley.edu","/analysis/m=cli/l=en-US","None","GET","Java/1.8.0_131","HTTP/1.1","0","200"
"2017-08-09 18:50:32 Z","Generic Protocol Command Decode","SURICATA HTTP missing Host header","3","192.168.1.221","58512","54.152.57.160","80","TCP","None","/icsi/id=369839a0-9699-896f8aa7-f379-49e3-bee1","None","ICSI","None","HTTP/1.1","0","200"
"2017-08-09 18:51:44 Z","Potential Corporate Privacy Violation","ET P2P possible torrent download","1","192.168.1.221","58614","54.152.57.160","80","TCP","n1.netalyzr.icsi.berkeley.edu","...699-896f8aa7-f379-49e3-bee1/name=Fedora-10-i686-Live.torrenthttp://n1.netalyzr.icsi.berkeley.edu/file/id=369839a0-9699-896f8aa7-f379-49e3-bee1/name=Fedora-10-i686-Live.torrent","None","GET","Java/1.8.0_131","HTTP/1.1","0","200"
"2017-08-09 18:51:46 Z","Potential Corporate Privacy Violation","ET P2P BitTorrent - Torrent File Downloaded","1","54.152.57.160","80","192.168.1.221","58614","TCP","n1.netalyzr.icsi.berkeley.edu","...699-896f8aa7-f379-49e3-bee1/name=Fedora-10-i686-Live.torrenthttp://n1.netalyzr.icsi.berkeley.edu/file/id=369839a0-9699-896f8aa7-f379-49e3-bee1/name=Fedora-10-i686-Live.torrent","application/x-bittorrent","GET","Java/1.8.0_131","HTTP/1.1","42369","200"
"2017-08-09 18:53:36 Z","A Network Trojan was detected","ET TROJAN Java EXE Download by Vulnerable Version - Likely Driveby","1","54.152.57.160","80","192.168.1.221","58602","TCP","n1.netalyzr.icsi.berkeley.edu","http://n1.netalyzr.icsi.berkeley.edu/file/id=369839a0-9699-896f8aa7-f379-49e3-bee1/name=netalyzr.exe","application/octet-stream","GET","Java/1.8.0_131","HTTP/1.1","3072","200"
"2017-08-09 18:53:36 Z","A Network Trojan was detected","ET POLICY Java EXE Download","1","54.152.57.160","80","192.168.1.221","58602","TCP","n1.netalyzr.icsi.berkeley.edu","http://n1.netalyzr.icsi.berkeley.edu/file/id=369839a0-9699-896f8aa7-f379-49e3-bee1/name=netalyzr.exe","application/octet-stream","GET","Java/1.8.0_131","HTTP/1.1","3072","200"
"2017-08-09 18:53:36 Z","Potential Corporate Privacy Violation","ET POLICY PE EXE or DLL Windows file download HTTP","1","54.152.57.160","80","192.168.1.221","58602","TCP","n1.netalyzr.icsi.berkeley.edu","http://n1.netalyzr.icsi.berkeley.edu/file/id=369839a0-9699-896f8aa7-f379-49e3-bee1/name=netalyzr.exe","application/octet-stream","GET","Java/1.8.0_131","HTTP/1.1","3072","200"
"2017-08-09 18:53:42 Z","Misc Attack","ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 396","2","46.101.102.71","443","192.168.1.221","51078","TCP","None","None","None","None","None","None","None","None"
"2017-08-09 18:54:33 Z","Potentially Bad Traffic","ET POLICY Vulnerable Java Version 1.8.x Detected","2","192.168.1.221","58872","54.152.57.160","80","TCP","n1.netalyzr.icsi.berkeley.edu","/log/id=369839a0-9699-896f8aa7-f379-49e3-bee1/checkVer=57861","None","POST","Java/1.8.0_131","HTTP/1.1","0","None"
"2017-08-09 18:54:35 Z","Potentially Bad Traffic","ET POLICY Vulnerable Java Version 1.8.x Detected","2","192.168.1.221","58874","54.152.57.160","80","TCP","n1.netalyzr.icsi.berkeley.edu","/debug/id=369839a0-9699-896f8aa7-f379-49e3-bee1","None","POST","Java/1.8.0_131","HTTP/1.1","0","None"
"2017-08-09 20:06:10 Z","Misc Attack","ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 396","2","46.101.102.71","443","192.168.1.221","54592","TCP","None","None","None","None","None","None","None","None"
"2017-08-09 21:04:11 Z","Misc Attack","ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 396","2","46.101.102.71","443","192.168.1.221","57540","TCP","None","None","None","None","None","None","None","None"